"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"121";"2371";"Paulo Alimonda.";"S. Paulo.";"Novo systema de curtir couros rapidamente, de- nominado "" o racional";"Idem";"Idem."
"122";"2572";"The Strowger Automatic Telephone Ex- change";"Chicago (E. U. da America do Norte).";"Aperfeiçoamento em permutadores automaticos de telephone";"Idem";"Idem."
"123";"2373";"Francis H nry Murphy e Mason Rounds Pierce";"Nova York (E. U. da Ame- rica do Norte";"A perfeiçoamento em movimento, de velocidades mudaveis, para mechanismo, motor de bicycie- tas e outros analogos";"Idem";"Idem."
"124";"2574";"Sirius Luftgas-automaten Gesellschaft Ham- burg mit beschrankter Hoftung.";"Hamburgo (Allemanha)";"Um carburador automatico para gaz de ar, de- nominado Sirius";"Idem";"Idem."
"125";"2575";"Rodolpho Schomaker.";"Ubá (Estado de Minas Ge- raes)";"Uma formicida denominada: Morte instantanea.";"Idem";"Idem,"
"126";"2576";"Antonio Pires Franco Barreira e Thomar Greaves";"Belém (Estado doPará)";"Um novo systema de tigelinhas destinadas a re- colher o leite da gomma elastica.";"25 de junho.";"15 annos."
"127";"2577";"Luis Denayrouze";"Paris (França).";"Combustor de gaz para illuminação pela incan- descencia, denominado: combustor universal.";"Idem";"Idem."
"128";"2578";"Rodolpho Silva.";"Capital Federal.";"Carteira denominada: distinctor.";"29 de junho.";"I dem."
"129";"2579";"Francisco Garcia Castaneda e Valentim José Tavares.";"Idem";"Um apparelho mecanico denominado: Caixeiro automatico";"11 de julho.";"Idem."
"130";"2580";"Harrison Gibson";"Ngarie (Nova Zelandia).";"Uma composição aperfeiçoada para marcar animaes";"Idem";"Idem."
"131";"2581";"Internationale Hydro-Press-Gas-Compagnie Gesellschaft mit beschlankter Haftemg";"Hamburgo (Allemanha)";"A perfeiçoamento em apparelhos de comprimir gaz e regular esta compressão, adoptados para illuminação de gaz incandescente";"Idem";"Idem."
"132";"2582";"Antonio Alexandre Fernandes da Costa.";"Capital Federal.";"Combustivel artificial denominado: "" Carvão dos pobres";"Idem";"Idem."
"133";"2583";"Alberto Cysneiros e Cicero da Costa.";"Idem";"Processo para o fabrico de carvão denominado "" Carvão Cysneiros";"12 de julho";"Idem."
"134";"2584";"Joaquim T. F. Penafort.";"Idem";"Novo systema de trilhos, denominado "" Trilho vehiculo """;"15 de julho";"Idem."
"135";"2585";"Guilherme Augusto da Silva Guimarães Junior";"Idem";"Um systema de bonds, sem estribos lateraes de- nominado "" Bond seguro";"Idem";"Idem."
"136";"2586";"Silvio Alimonda.";"S. Roque (Estado de São Paulo)";"Systema de curtimento, denominado systema "" Itacolomy brazileiro";"Idem";"Idem."
"137";"2587";"Dr. Carlo Calliano.";"Turim (Italia)";"Cinta gastro-compressora contra o enjôo do mar e outros incommodos semelhantes.";"16 de julho";"Idem."
"138";"2528";"Waldemar Flohr-Matthiessen,";"Capital Federal";"Armação para latas";"Idem a";"Idem."
"139";"2589";"William Belcher.";"Kingston on Thamem Saney (Inglaterra)";"Aperfeiçoamento em engates automatieos para carros de estradas de ferro e vehiculos seme- lhantes";"Idem";"Idem."
"140";"2590";"Paulo Benedett.";"Capital Federal";"Um apparelho para produzir gaz acetyleno de- nominado "" o brazileiro";"20 de julho";"Idem."
"141";"2591";"A. Paiva Ferreira.";"Idem";"Fabricação aperfeigoada de suspensorios para calças";"Idem";"Idem."
